source cloud id, target cloud id, registration time, rotation error, translation error
, , ms, rad, mm
54, 16, 9095, 0.00828643,0.0114246
55, 16, 3510, 0.0305022,0.0152469
56, 16, 2141, 0.0516667,0.00630557
58, 16, 3821, 0.0123334,0.0071888
59, 16, 6496, 0.00603971,0.0087297
18, 17, 9943, 0.00478416,0.0373471
19, 17, 44283, 0.0115755,0.0926029
20, 17, 25986, 0.0177269,0.0382552
21, 17, 19568, 0.0342092,0.0215433
22, 17, 14214, 0.0342197,0.0125182
23, 17, 17434, 0.024517,0.0176324
24, 17, 7429, 0.025852,0.0200149
25, 17, 18779, 0.010254,0.0339167
35, 17, 8444, 0.0222695,0.0113983
36, 17, 8119, 0.0213568,0.0173703
37, 17, 10424, 0.0183742,0.0337547
38, 17, 22944, 0.021183,0.0397652
39, 17, 47589, 0.0154718,0.0490651
53, 17, 2278, 0.0261044,0.00777579
54, 17, 7650, 0.00636642,0.020866
55, 17, 9183, 0.0225673,0.0300606
58, 17, 5892, 0.0187467,0.0589888
59, 17, 5398, 0.0209111,0.0322553
19, 18, 16130, 0.0122753,0.0314958
20, 18, 38742, 0.00617633,0.0198099
21, 18, 23090, 0.0169359,0.00878427
22, 18, 14780, 0.0452747,0.0420542
23, 18, 8747, 0.0478013,0.0425247
24, 18, 8926, 0.0321168,0.0281592
25, 18, 11125, 0.0198944,0.0379679
26, 18, 51656, 0.0178609,0.0453794
35, 18, 9166, 0.0166877,0.0360075
36, 18, 9492, 0.0215955,0.0271587
37, 18, 13963, 0.0138453,0.0260271
38, 18, 18940, 0.0189743,0.0337558
39, 18, 30416, 0.0183742,0.0243994
54, 18, 13971, 0.0129003,0.0573114
59, 18, 8349, 0.0238115,0.0635283
20, 19, 15183, 0.0084432,0.0487467
21, 19, 44194, 0.037476,0.0325812
24, 19, 23348, 0.021612,0.0362355
25, 19, 11482, 0.013602,0.0142214
26, 19, 19104, 0.0242677,0.0290917
36, 19, 31179, 0.0236809,0.0338963
37, 19, 25784, 0.00819966,0.0195681
38, 19, 10116, 0.0190119,0.0268629
39, 19, 12925, 0.0105293,0.0483886
54, 19, 62703, 0.00662338,0.0398871
59, 19, 22764, 0.0206934,0.032293
21, 20, 18807, 0.0227829,0.0356547
35, 20, 27243, 0.0245898,0.0279488
36, 20, 35363, 0.00931585,0.0260422
39, 20, 7132, 0.0290978,0.0356448
22, 21, 11193, 0.0155026,0.0122335
23, 21, 13688, 0.0225884,0.0158646
24, 21, 10086, 0.0143609,0.0314952
35, 21, 11818, 0.0233208,0.0127134
39, 21, 18908, 0.0311213,0.0219
23, 22, 8296, 0.00788845,0.0156384
24, 22, 19671, 0.00705901,0.0379065
35, 22, 13754, 0.0282876,0.0153885
36, 22, 19699, 0.0305217,0.0366948
54, 22, 13584, 0.0344247,0.0108047
55, 22, 9436, 0.0284766,0.0151634
24, 23, 8991, 0.01142,0.0228713
35, 23, 11361, 0.0335618,0.0116259
36, 23, 10656, 0.0399941,0.0248892
54, 23, 7414, 0.0426126,0.0209937
55, 23, 8869, 0.0329885,0.0281224
25, 24, 4695, 0.0151369,0.0136861
35, 24, 8658, 0.0205198,0.0288271
36, 24, 7778, 0.0230172,0.0132704
37, 24, 6924, 0.01541,0.0231229
39, 24, 13213, 0.0347967,0.0197032
54, 24, 8528, 0.00647779,0.0427942
55, 24, 6108, 0.0155026,0.0377504
59, 24, 5685, 0.0250414,0.0311661
26, 25, 6214, 0.0265122,0.00605309
35, 25, 15603, 0.00253718,0.0195182
36, 25, 13169, 0.010137,0.0220115
37, 25, 8356, 0.0149227,0.0149092
38, 25, 9202, 0.0169007,0.0277306
39, 25, 9042, 0.016202,0.0181632
53, 25, 2180, 0.0239662,0.0243995
54, 25, 25101, 0.00784298,0.0236835
59, 25, 8850, 0.010219,0.0212878
27, 26, 6311, 0.026843,0.01713
36, 26, 19050, 0.0192982,0.027276
37, 26, 13429, 0.0069226,0.0183344
38, 26, 6284, 0.0469251,0.0186531
39, 26, 6155, 0.0336753,0.0154168
28, 27, 5196, 0.0169429,0.024428
29, 27, 10134, 0.0394084,0.0691606
29, 28, 5931, 0.019087,0.0285683
30, 28, 3840, 0.0314339,0.0225274
31, 28, 2438, 0.0184906,0.0187697
40, 28, 29084, 0.0208426,0.0410261
41, 28, 38469, 0.0109184,0.0084057
30, 29, 2314, 0.0256668,0.0285289
31, 29, 5029, 0.0333194,0.0198316
40, 29, 36063, 0.0338025,0.0626544
41, 29, 15201, 0.0107865,0.0305399
42, 29, 16490, 0.00796365,0.0189658
43, 29, 9208, 0.00884318,0.0105285
31, 30, 2356, 0.0295411,0.00925338
32, 30, 3235, 0.0563738,0.024677
40, 30, 45670, 0.0209851,0.0221274
41, 30, 29691, 0.0153247,0.0335805
42, 30, 7212, 0.035509,0.0122811
32, 31, 2551, 0.0264762,0.0164988
33, 31, 3139, 0.02662,0.00766631
33, 32, 2226, 0.0399135,0.00685161
34, 33, 2816, 0.0204733,0.0213561
36, 35, 8167, 0.00594021,0.0208627
37, 35, 14314, 0.0128633,0.0362729
53, 35, 1831, 0.0216561,0.00727755
54, 35, 7985, 0.0111132,0.0100516
55, 35, 5676, 0.0195864,0.00900795
56, 35, 5167, 0.0282031,0.0263184
57, 35, 10060, 0.0257179,0.030756
58, 35, 6576, 0.0119605,0.0265662
59, 35, 8741, 0.0101722,0.00950312
37, 36, 12552, 0.0100425,0.0244203
38, 36, 9338, 0.0165874,0.0280192
39, 36, 16234, 0.0121582,0.0300631
53, 36, 1795, 0.0179873,0.00739862
54, 36, 10441, 0.0085971,0.0274224
55, 36, 2301, 0.0322501,0.00578272
56, 36, 6158, 0.0261409,0.0228752
58, 36, 4305, 0.00842907,0.025075
59, 36, 9498, 0.0113467,0.0301389
38, 37, 5048, 0.00881618,0.0135216
39, 37, 9360, 0.0210588,0.0127602
54, 37, 14597, 0.00895037,0.0412512
55, 37, 18101, 0.0204441,0.0598807
58, 37, 10306, 0.00577743,0.0489769
59, 37, 7678, 0.0113151,0.0493593
39, 38, 5899, 0.0106307,0.0111313
54, 38, 14251, 0.0152467,0.0114369
58, 38, 2923, 0.0153091,0.0263555
59, 38, 5373, 0.00983863,0.0215661
59, 39, 4900, 0.0156633,0.0268014
41, 40, 5773, 0.024946,0.0228348
42, 40, 5180, 0.0308828,0.0332769
43, 40, 4484, 0.0316154,0.0345826
42, 41, 3759, 0.00485834,0.00902223
43, 41, 3085, 0.0124489,0.0215521
44, 41, 2396, 0.0250795,0.0300711
43, 42, 3282, 0.00525896,0.0146373
44, 42, 2262, 0.0193044,0.0236029
45, 42, 12088, 0.0324969,0.0381982
44, 43, 2223, 0.011156,0.010607
45, 43, 4304, 0.026077,0.0209825
45, 44, 1460, 0.0146892,0.0122043
46, 44, 2101, 0.0215568,0.0217379
46, 45, 1460, 0.0100899,0.0107426
47, 45, 1784, 0.0221998,0.0328017
47, 46, 1612, 0.0178609,0.0200438
48, 46, 1353, 0.0053711,0.0222404
49, 46, 1723, 0.0114825,0.0380338
50, 46, 1042, 0.0244,0.0290608
51, 46, 440, 0.0376347,0.0215302
52, 46, 1244, 0.0266781,0.0312486
48, 47, 1299, 0.0119605,0.00987418
49, 47, 2124, 0.0226569,0.0221078
50, 47, 823, 0.0333229,0.0155088
51, 47, 533, 0.0383254,0.00920725
52, 47, 1504, 0.0389519,0.0193293
53, 47, 7333, 0.0362402,0.0619488
49, 48, 1331, 0.00532653,0.014916
50, 48, 1175, 0.031236,0.00304232
51, 48, 493, 0.0308133,0.0101569
52, 48, 1721, 0.0357032,0.0104458
53, 48, 9945, 0.0263815,0.0473465
54, 48, 90064, 0.0163266,0.0844491
50, 49, 677, 0.0159797,0.00706021
52, 49, 851, 0.0306698,0.00817527
53, 49, 8751, 0.0235294,0.0324815
54, 49, 82210, 0.00944295,0.0624941
59, 49, 12391, 0.0294724,0.0286674
51, 50, 559, 0.0127516,0.0141573
52, 50, 988, 0.00997103,0.00566702
53, 50, 3361, 0.0259303,0.0249082
54, 50, 55829, 0.03575,0.0777331
52, 51, 880, 0.0165442,0.0112461
53, 51, 4484, 0.0276611,0.0315942
53, 52, 2708, 0.0154949,0.032444
54, 52, 31919, 0.0317734,0.068242
54, 53, 9063, 0.0172152,0.00644874
55, 53, 13556, 0.0269493,0.0278205
56, 53, 26356, 0.0142943,0.0128516
58, 53, 10501, 0.0204208,0.030399
59, 53, 13632, 0.0418844,0.0214406
55, 54, 5887, 0.0132108,0.00614893
56, 54, 4510, 0.026241,0.027202
57, 54, 7752, 0.0210362,0.0364689
58, 54, 6078, 0.0115032,0.026478
59, 54, 7149, 0.0119005,0.0122917
56, 55, 3344, 0.0085971,0.0196492
57, 55, 11612, 0.0375205,0.0758716
58, 55, 6160, 0.0116781,0.0157792
59, 55, 3475, 0.041065,0.0118792
57, 56, 5371, 0.00497952,0.0180963
58, 56, 6415, 0.0445846,0.0143791
59, 56, 16223, 0.0170691,0.0316767
58, 57, 86670, 0.0414609,0.0546327
59, 57, 39267, 0.0113257,0.0264733
59, 58, 4594, 0.0141266,0.0253262
