source cloud id, target cloud id, registration time, rotation error, translation error
, , ms, rad, mm
31,29,110,0.034759,0.0214295
40,29,176,0.0318184,0.0649462
41,29,84,0.0110054,0.0311284
42,29,90,0.00715962,0.0202564
43,29,61,0.00528158,0.0125894
31,30,44,0.0255178,0.00788202
32,30,37,0.0523227,0.0233219
40,30,130,0.0203096,0.0248335
41,30,113,0.0161725,0.0340333
42,30,41,0.0334907,0.0152145
32,31,83,0.028008,0.0185306
33,31,42,0.0303886,0.00662721
33,32,56,0.0406564,0.00592356
34,33,52,0.0203916,0.0216561
36,35,181,0.00613761,0.026216
37,35,145,0.0160393,0.0391528
53,35,131,0.0218425,0.0145693
54,35,281,0.0080233,0.00492259
55,35,136,0.0215955,0.0115423
56,35,79,0.0316531,0.0295133
57,35,160,0.0275747,0.0337971
58,35,109,0.0193353,0.02978
59,35,125,0.0141181,0.0156032
37,36,164,0.00918699,0.0197039
38,36,72,0.0165586,0.0266916
39,36,127,0.0129465,0.0288474
53,36,69,0.017619,0.00701254
54,36,207,0.00838653,0.0276078
55,36,260,0.0238815,0.0313579
56,36,96,0.0250176,0.0249275
58,36,78,0.00936689,0.0277709
59,36,204,0.012974,0.0359925
38,37,85,0.00925164,0.0133293
39,37,92,0.0208254,0.0125049
54,37,164,0.0131475,0.0356992
55,37,222,0.0224614,0.0608333
58,37,160,0.00539325,0.0444318
59,37,216,0.0114304,0.0517086
39,38,107,0.00979005,0.0107341
54,38,122,0.0154718,0.0149191
58,38,62,0.0136545,0.0234271
59,38,107,0.0090563,0.021697
59,39,82,0.014673,0.0244861
41,40,136,0.026602,0.0229635
42,40,120,0.0312513,0.0334669
43,40,116,0.0316945,0.0346559
42,41,118,0.00371864,0.00793463
43,41,117,0.0123141,0.0215131
44,41,81,0.0240754,0.0306801
43,42,139,0.00554582,0.0140838
44,42,91,0.0176528,0.0236941
45,42,118,0.0324565,0.0377813
44,43,103,0.0104497,0.0118426
45,43,92,0.0246866,0.0224448
45,44,62,0.015724,0.0129949
46,44,59,0.0237513,0.0252883
46,45,63,0.0091088,0.0102692
47,45,65,0.018683,0.0353796
47,46,69,0.0140674,0.0191333
48,46,49,0.00560993,0.0256252
49,46,61,0.00573601,0.0376786
50,46,35,0.0262955,0.0257225
51,46,23,0.0435646,0.0227254
52,46,39,0.0287101,0.0336133
48,47,57,0.0131111,0.00829687
49,47,72,0.0230844,0.0188443
50,47,50,0.0339152,0.0128582
51,47,42,0.0398836,0.0100811
52,47,68,0.0397908,0.0158296
53,47,121,0.0379879,0.0470099
49,48,117,0.00338291,0.0150885
50,48,110,0.0292857,0.00300344
51,48,48,0.0321761,0.0107023
52,48,109,0.0354216,0.00975336
53,48,123,0.0234075,0.0425673
54,48,253,0.0102423,0.0798025
50,49,35,0.0183547,0.00796195
52,49,33,0.0352055,0.00786834
53,49,70,0.0263951,0.0316867
54,49,189,0.0105745,0.069234
59,49,31,0.0288551,0.0294649
51,50,41,0.0114928,0.0130613
